"Could not delete the LayoutRestriction: %1","Could not delete the LayoutRestriction: %1"
"Could not save the layoutStore: %1","Could not save the layoutStore: %1"
"LayoutStore with id ""%1"" does not exist.","LayoutStore with id ""%1"" does not exist."
"Could not delete the LayoutStore: %1","Could not delete the LayoutStore: %1"
Edit,Edit
Delete,Delete
"Delete ""${ $.$data.identifier }""","Delete ""${ $.$data.identifier }"""
"Are you sure you wan't to delete a ""${ $.$data.identifier }"" record?","Are you sure you wan't to delete a ""${ $.$data.identifier }"" record?"
Duplicate,Duplicate
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
Preview,Preview
"Edit Layout Blocks","Edit Layout Blocks"
belvg,belvg
"Layout Customizer","Layout Customizer"
General,General
"Overall height attribute","Overall height attribute"
"Overall width attribute","Overall width attribute"
"Sections sizes attribute","Sections sizes attribute"
"General Information","General Information"
"Layout Data","Layout Data"
identifier,identifier
Material,Material
"Family ID","Family ID"
height,height
width,width
horizontal_frame,horizontal_frame
vertical_frame,vertical_frame
sqm_level_step2,sqm_level_step2
base_price,base_price
sqm_price,sqm_price
sqm_price_step2,sqm_price_step2
is_active,is_active
"Family (associated layouts)","Family (associated layouts)"
"Add new Layout","Add new Layout"
"Delete items","Delete items"
"Delete selected items?","Delete selected items?"
ID,ID
layout_id,layout_id
id_parent,id_parent
sort_order,sort_order
min_height,min_height
max_height,max_height
min_width,min_width
max_width,max_width
is_size_modified_x,is_size_modified_x
is_size_modified_y,is_size_modified_y
can_open,can_open
layoutblockopentype_id,layoutblockopentype_id
is_footer,is_footer
color,color
is_crossbar,is_crossbar
crossbar_frame_width,crossbar_frame_width
cols,cols
rows,rows
is_door,is_door
is_chamfer,is_chamfer
is_free,is_free
free_x,free_x
free_y,free_y
img_pattern,img_pattern
border_top,border_top
border_right,border_right
border_bottom,border_bottom
border_left,border_left
type,type
circle_radius,circle_radius
circle_angle,circle_angle
triangle_A_angle,triangle_A_angle
triangle_A_angle_is_modified,triangle_A_angle_is_modified
triangle_B_angle,triangle_B_angle
triangle_B_angle_is_modified,triangle_B_angle_is_modified
triangle_C_angle,triangle_C_angle
triangle_C_angle_is_modified,triangle_C_angle_is_modified
block_id_top,block_id_top
block_id_right,block_id_right
block_id_bottom,block_id_bottom
block_id_left,block_id_left
"Add new LayoutBlock","Add new LayoutBlock"
is_indoor,is_indoor
is_sliding,is_sliding
to_right,to_right
to_left,to_left
to_top,to_top
to_bottom,to_bottom
"Add new LayoutBlockOpenType","Add new LayoutBlockOpenType"
layoutblock_id,layoutblock_id
option_type_id,option_type_id
is_available,is_available
err_msg,err_msg
"Add new LayoutRestriction","Add new LayoutRestriction"
key,key
value,value
"Add new LayoutRestrictionOption","Add new LayoutRestrictionOption"
store_id,store_id
"Add new LayoutStore","Add new LayoutStore"
"BelVG Layout","BelVG Layout"
"Frame dimensions","Rahmenmaße"
"This drawing is indicative and seen from the outside.","Diese Zeichnung ist beispielhaft und wird von außen betrachtet."
"All measurements are frame measurements.","Alle Maße sind Rahmenmaße."
"Read more <a href=""%1"" target=""_blank"">here.</a>","Lesen Sie <a href=""%1"" target=""_blank"">hier mehr.</a>"
